season,player_name,Tm,Age,Int,PD,Sk,QBHits,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2018,Quandre Diggs,DET,25,3,8,0,1,CB,Texas,69,196,4.56,17,35.5,113,7.22,4.15
2019,Quandre Diggs,SEA,26,3,3,0,0,CB,Texas,69,196,4.56,17,35.5,113,7.22,4.15
2020,Quandre Diggs,SEA,27,5,10,0,0,CB,Texas,69,196,4.56,17,35.5,113,7.22,4.15
2021,Quandre Diggs,SEA,28,5,7,0,0,CB,Texas,69,196,4.56,17,35.5,113,7.22,4.15
2022,Quandre Diggs,SEA,29,4,7,0,1,CB,Texas,69,196,4.56,17,35.5,113,7.22,4.15
2016,Cameron Jordan,NO,27,0,6,7.5,24,DE,California,76,287,4.74,25,31,117,7.07,4.37
2017,Cameron Jordan,NO,28,1,11,13,28,DE,California,76,287,4.74,25,31,117,7.07,4.37
2018,Cameron Jordan,NO,29,0,6,12,21,DE,California,76,287,4.74,25,31,117,7.07,4.37
2019,Cameron Jordan,NO,30,0,3,15.5,25,DE,California,76,287,4.74,25,31,117,7.07,4.37
2020,Cameron Jordan,NO,31,0,3,7.5,16,DE,California,76,287,4.74,25,31,117,7.07,4.37
2021,Cameron Jordan,NO,32,0,6,12.5,22,DE,California,76,287,4.74,25,31,117,7.07,4.37
2022,Cameron Jordan,NO,33,0,2,8.5,13,DE,California,76,287,4.74,25,31,117,7.07,4.37
2016,Devon Kennard,NYG,25,0,1,1,5,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2017,Devon Kennard,NYG,26,0,2,4,7,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2018,Devon Kennard,DET,27,0,0,7,14,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2019,Devon Kennard,DET,28,0,0,7,15,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2020,Devon Kennard,ARI,29,0,0,3,9,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2021,Devon Kennard,ARI,30,0,2,0,2,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2022,Devon Kennard,ARI,31,0,0,0,1,OLB,USC,75,249,4.7,23,30,113,7.25,4.32
2016,Briean Boddy-Calhoun,CLE,23,3,11,1,1,CB,Minnesota,69,193,4.47,10,35,123,7.16,4.22
2017,Briean Boddy-Calhoun,CLE,24,0,6,0,1,CB,Minnesota,69,193,4.47,10,35,123,7.16,4.22
2018,Briean Boddy-Calhoun,CLE,25,0,2,0,3,CB,Minnesota,69,193,4.47,10,35,123,7.16,4.22
2019,Briean Boddy-Calhoun,CLE,26,0,0,2,1,CB,Minnesota,69,193,4.47,10,35,123,7.16,4.22
2016,Marcus Gilchrist,NYJ,28,2,3,0,0,CB,Clemson,70,195,4.45,26,38.5,119,6.81,4.12
2017,Marcus Gilchrist,HOU,29,1,6,1,0,CB,Clemson,70,195,4.45,26,38.5,119,6.81,4.12
2018,Marcus Gilchrist,LV,30,3,6,0,0,CB,Clemson,70,195,4.45,26,38.5,119,6.81,4.12
2019,Marcus Gilchrist,JAX,31,0,0,0,0,CB,Clemson,70,195,4.45,26,38.5,119,6.81,4.12
2020,Marcus Gilchrist,BAL,32,0,0,0,0,CB,Clemson,70,195,4.45,26,38.5,119,6.81,4.12
2016,Anthony Hitchens,DAL,24,0,1,1.5,5,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2017,Anthony Hitchens,DAL,25,0,2,0,2,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2018,Anthony Hitchens,KC,26,0,0,0,2,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2019,Anthony Hitchens,KC,27,0,1,2,4,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2020,Anthony Hitchens,KC,28,0,1,0,4,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2021,Anthony Hitchens,KC,29,1,2,0,2,OLB,Iowa,72,240,4.74,23,31.5,116,7.15,4.45
2016,Brandon Marshall,DEN,27,0,3,0,0,OLB,Nevada,73,242,4.72,28,30.5,108,7.05,4.09
2017,Brandon Marshall,DEN,28,0,4,3,3,OLB,Nevada,73,242,4.72,28,30.5,108,7.05,4.09
2018,Brandon Marshall,DEN,29,0,1,0,0,OLB,Nevada,73,242,4.72,28,30.5,108,7.05,4.09
2016,Quinten Rollins,GB,24,1,8,0,1,CB,Miami (OH),71,195,4.57,14,36.5,122,7.1,4.28
2017,Quinten Rollins,GB,25,0,2,0,0,CB,Miami (OH),71,195,4.57,14,36.5,122,7.1,4.28
2016,Orlando Scandrick,DAL,29,1,8,2,2,CB,Boise State,70,192,4.32,20,33.5,125,6.83,4
2017,Orlando Scandrick,DAL,30,0,3,0,1,CB,Boise State,70,192,4.32,20,33.5,125,6.83,4
2018,Orlando Scandrick,KC,31,1,13,0,0,CB,Boise State,70,192,4.32,20,33.5,125,6.83,4
2019,Orlando Scandrick,PHI,32,0,0,2,1,CB,Boise State,70,192,4.32,20,33.5,125,6.83,4
2016,Buster Skrine,NYJ,27,1,6,1,1,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2017,Buster Skrine,NYJ,28,1,9,1,2,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2018,Buster Skrine,NYJ,29,0,8,0.5,2,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2019,Buster Skrine,CHI,30,0,5,0,2,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2020,Buster Skrine,CHI,31,0,3,0,0,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2021,Buster Skrine,CHI,32,1,3,0,0,CB,Tenn-Chattanooga,69,186,4.37,20,37,122,6.44,3.9
2016,Shaq Thompson,CAR,22,1,5,0,2,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2017,Shaq Thompson,CAR,23,0,1,2,6,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2018,Shaq Thompson,CAR,24,0,1,3.5,6,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2019,Shaq Thompson,CAR,25,0,3,3,4,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2020,Shaq Thompson,CAR,26,0,5,0,2,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2021,Shaq Thompson,CAR,27,2,5,2,6,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2022,Shaq Thompson,CAR,28,0,4,0.5,3,OLB,Washington,72,228,4.64,20,33.5,117,6.99,4.08
2016,Tre Boston,CAR,24,2,7,2,4,S,NOth Carolina,72,204,4.58,18,35,116,7.04,4.31
2017,Tre Boston,LAC,25,5,8,0,0,S,NOth Carolina,72,204,4.58,18,35,116,7.04,4.31
2018,Tre Boston,ARI,26,3,9,0,3,S,NOth Carolina,72,204,4.58,18,35,116,7.04,4.31
2019,Tre Boston,CAR,27,3,11,0,1,S,NOth Carolina,72,204,4.58,18,35,116,7.04,4.31
2020,Tre Boston,CAR,28,1,4,1,2,S,NOth Carolina,72,204,4.58,18,35,116,7.04,4.31
2016,Brian Cushing,HOU,29,0,1,0,2,OLB,USC,75,243,4.64,30,35,120,6.84,4.22
2017,Brian Cushing,HOU,30,0,0,1.5,2,OLB,USC,75,243,4.64,30,35,120,6.84,4.22
2016,Quintin Demps,HOU,31,6,9,0,1,S,Texas-El Paso,72,206,4.39,16,31.5,110,7,4
2017,Quintin Demps,CHI,32,0,0,0,0,S,Texas-El Paso,72,206,4.39,16,31.5,110,7,4
2016,Chandler Jones,ARI,26,0,3,11,21,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2017,Chandler Jones,ARI,27,0,3,17,33,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2018,Chandler Jones,ARI,28,0,4,13,18,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2019,Chandler Jones,ARI,29,0,5,19,26,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2020,Chandler Jones,ARI,30,0,0,1,7,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2022,Chandler Jones,LV,32,0,3,4.5,15,DE,Syracuse,77,266,4.77,22,35,120,7.07,4.38
2016,Johnathan Joseph,HOU,32,0,9,0,0,CB,South Carolina,71,193,4.31,15,37,123,6.92,4.23
2017,Johnathan Joseph,HOU,33,2,9,0,0,CB,South Carolina,71,193,4.31,15,37,123,6.92,4.23
2018,Johnathan Joseph,HOU,34,2,13,0,0,CB,South Carolina,71,193,4.31,15,37,123,6.92,4.23
2019,Johnathan Joseph,HOU,35,1,13,0,0,CB,South Carolina,71,193,4.31,15,37,123,6.92,4.23
2020,Johnathan Joseph,HOU,36,1,6,0,0,CB,South Carolina,71,193,4.31,15,37,123,6.92,4.23
2016,Captain Munnerlyn,MIN,28,0,3,0,0,CB,South Carolina,68,182,4.41,19,37.5,121,7.15,4.2
2017,Captain Munnerlyn,CAR,29,0,4,2,5,CB,South Carolina,68,182,4.41,19,37.5,121,7.15,4.2
2018,Captain Munnerlyn,CAR,30,1,9,2,2,CB,South Carolina,68,182,4.41,19,37.5,121,7.15,4.2
2016,Brian Orakpo,TEN,30,0,4,10.5,19,DE,Texas,75,263,4.63,31,39.5,114,7,4
2017,Brian Orakpo,TEN,31,0,2,7,18,DE,Texas,75,263,4.63,31,39.5,114,7,4
2018,Brian Orakpo,TEN,32,0,3,1.5,7,DE,Texas,75,263,4.63,31,39.5,114,7,4
2016,Sheldon Richardson,NYJ,26,0,2,1.5,9,DT,Missouri,74,294,5.02,30,32,116,7,4
2017,Sheldon Richardson,SEA,27,1,1,1,7,DT,Missouri,74,294,5.02,30,32,116,7,4
2018,Sheldon Richardson,MIN,28,0,0,4.5,16,DT,Missouri,74,294,5.02,30,32,116,7,4
2019,Sheldon Richardson,CLE,29,0,4,3,6,DT,Missouri,74,294,5.02,30,32,116,7,4
2020,Sheldon Richardson,CLE,30,0,3,4.5,10,DT,Missouri,74,294,5.02,30,32,116,7,4
2021,Sheldon Richardson,MIN,31,0,4,2.5,13,DT,Missouri,74,294,5.02,30,32,116,7,4
2016,Perry Riley,LV,28,0,1,0,0,OLB,LSU,73,239,4.69,20,35.5,119,6.97,4.25
2016,Josh Shaw,CIN,24,1,3,0,0,CB,USC,72,201,4.44,26,37.5,130,7.01,4.12
2016,Josh Shaw,CIN,24,1,3,0,0,DT,Michigan State,75,279,5.08,22,,114,7,4
2017,Josh Shaw,CIN,25,0,3,0,0,CB,USC,72,201,4.44,26,37.5,130,7.01,4.12
2017,Josh Shaw,CIN,25,0,3,0,0,DT,Michigan State,75,279,5.08,22,,114,7,4
2018,Josh Shaw,CIN,26,0,0,0,0,CB,USC,72,201,4.44,26,37.5,130,7.01,4.12
2018,Josh Shaw,CIN,26,0,0,0,0,DT,Michigan State,75,279,5.08,22,,114,7,4
2016,Richard Sherman,SEA,28,4,13,0,0,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2017,Richard Sherman,SEA,29,2,7,0,0,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2018,Richard Sherman,SF,30,0,4,1,1,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2019,Richard Sherman,SF,31,3,11,0,0,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2020,Richard Sherman,SF,32,1,1,0,0,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2021,Richard Sherman,TB,33,1,1,0,0,CB,Stanford,75,195,4.54,16,38,125,6.82,4.33
2016,Derek Wolfe,DEN,26,0,4,5.5,19,DT,Cincinnati,77,295,4.93,33,33.5,108,7.26,4.44
2017,Derek Wolfe,DEN,27,0,0,2,6,DT,Cincinnati,77,295,4.93,33,33.5,108,7.26,4.44
2018,Derek Wolfe,DEN,28,1,6,1.5,6,DT,Cincinnati,77,295,4.93,33,33.5,108,7.26,4.44
2019,Derek Wolfe,DEN,29,0,1,7,12,DT,Cincinnati,77,295,4.93,33,33.5,108,7.26,4.44
2020,Derek Wolfe,BAL,30,0,2,1,4,DT,Cincinnati,77,295,4.93,33,33.5,108,7.26,4.44
2016,Anthony Barr,MIN,24,0,4,2,8,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2017,Anthony Barr,MIN,25,0,6,1,4,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2018,Anthony Barr,MIN,26,0,2,3,4,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2019,Anthony Barr,MIN,27,1,4,1.5,7,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2020,Anthony Barr,MIN,28,0,0,0,0,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2021,Anthony Barr,MIN,29,3,5,2.5,6,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2022,Anthony Barr,DAL,30,0,1,1,4,OLB,UCLA,77,255,4.66,15,34.5,119,6.82,4.19
2016,Justin Bethel,ARI,26,1,6,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2017,Justin Bethel,ARI,27,1,4,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2018,Justin Bethel,ATL,28,0,0,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2019,Justin Bethel,NE,29,0,0,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2020,Justin Bethel,NE,30,0,0,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2021,Justin Bethel,NE,31,0,1,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2022,Justin Bethel,MIA,32,1,4,0,0,S,Presbyterian,72,200,4.52,19,39.5,131,6.79,4.3
2016,Perrish Cox,TEN,29,3,11,0,0,CB,Oklahoma State,71,195,4.58,12,32.5,113,7,4
2016,William Gholston,TB,25,0,0,3,7,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2017,William Gholston,TB,26,0,0,0,1,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2018,William Gholston,TB,27,0,0,1,7,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2019,William Gholston,TB,28,0,2,1,7,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2020,William Gholston,TB,29,0,2,3,20,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2021,William Gholston,TB,30,0,0,4.5,11,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2022,William Gholston,TB,31,0,0,0,5,DE,Michigan State,78,281,4.96,23,28.5,110,7.2,4.59
2016,Joe Haden,CLE,27,3,11,0,0,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2017,Joe Haden,PIT,28,1,7,1,5,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2018,Joe Haden,PIT,29,2,12,0,0,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2019,Joe Haden,PIT,30,5,17,0,0,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2020,Joe Haden,PIT,31,2,12,0,0,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2021,Joe Haden,PIT,32,0,6,0,0,CB,Florida,71,193,4.52,18,35,125,6.94,4.34
2016,Linval Joseph,MIN,28,0,0,4,17,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2017,Linval Joseph,MIN,29,0,0,3.5,10,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2018,Linval Joseph,MIN,30,0,0,1,4,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2019,Linval Joseph,MIN,31,0,0,3,6,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2020,Linval Joseph,LAC,32,0,0,0,2,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2021,Linval Joseph,LAC,33,0,0,1,2,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2022,Linval Joseph,PHI,34,0,0,0.5,1,DT,East Carolina,76,328,5.09,39,30,100,8.12,4.71
2016,Sean Spence,TEN,26,0,3,3,5,OLB,Miami (FL),71,231,4.66,12,33.5,119,7.46,4.28
2017,Sean Spence,TEN,27,0,0,1,2,OLB,Miami (FL),71,231,4.66,12,33.5,119,7.46,4.28
2016,J.J. Wilcox,DAL,25,1,6,0,0,S,Georgia Southern,72,213,4.57,17,35,124,7.02,4.09
2017,J.J. Wilcox,PIT,26,1,1,0,3,S,Georgia Southern,72,213,4.57,17,35,124,7.02,4.09
2018,J.J. Wilcox,PIT,27,0,0,0,0,S,Georgia Southern,72,213,4.57,17,35,124,7.02,4.09
2016,Aaron Donald,LAR,25,0,5,8,31,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2017,Aaron Donald,LAR,26,0,1,11,27,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2018,Aaron Donald,LAR,27,0,1,20.5,41,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2019,Aaron Donald,LAR,28,0,2,12.5,24,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2020,Aaron Donald,LAR,29,0,1,13.5,28,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2021,Aaron Donald,LAR,30,0,4,12.5,25,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2022,Aaron Donald,LAR,31,0,2,5,11,DT,Pittsburgh,73,285,4.68,35,32,116,7.11,4.39
2016,Kyle Emanuel,LAC,25,0,1,0.5,4,OLB,NOth Dakota State,75,255,4.77,27,34,120,7.1,4.25
2017,Kyle Emanuel,LAC,26,1,3,1.5,2,OLB,NOth Dakota State,75,255,4.77,27,34,120,7.1,4.25
2018,Kyle Emanuel,LAC,27,0,0,1,2,OLB,NOth Dakota State,75,255,4.77,27,34,120,7.1,4.25
2020,Kyle Emanuel,LAC,29,0,0,0,0,OLB,NOth Dakota State,75,255,4.77,27,34,120,7.1,4.25
2016,Everson Griffen,MIN,29,0,1,8,22,DE,USC,75,273,4.65,32,,114,7,4
2017,Everson Griffen,MIN,30,0,1,13,25,DE,USC,75,273,4.65,32,,114,7,4
2018,Everson Griffen,MIN,31,0,1,5.5,13,DE,USC,75,273,4.65,32,,114,7,4
2020,Everson Griffen,MIN,33,0,4,6,14,DE,USC,75,273,4.65,32,,114,7,4
2021,Everson Griffen,MIN,34,0,0,5,10,DE,USC,75,273,4.65,32,,114,7,4
2016,Whitney Mercilus,HOU,26,0,1,7.5,22,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2017,Whitney Mercilus,HOU,27,0,0,1,1,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2018,Whitney Mercilus,HOU,28,0,0,4,14,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2019,Whitney Mercilus,HOU,29,2,2,7.5,16,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2020,Whitney Mercilus,HOU,30,0,1,4,7,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2021,Whitney Mercilus,HOU,31,0,0,4,5,DE,Illinois,76,261,4.68,27,32,118,7.17,4.53
2016,Leonard Williams,NYJ,22,0,0,7,19,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2017,Leonard Williams,NYJ,23,1,1,2,25,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2018,Leonard Williams,NYJ,24,0,2,5,20,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2019,Leonard Williams,NYG,25,0,3,0.5,16,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2020,Leonard Williams,NYG,26,0,1,11.5,30,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2021,Leonard Williams,NYG,27,0,2,6.5,14,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2022,Leonard Williams,NYG,28,0,0,2.5,12,DT,USC,77,302,4.97,20,29.5,106,7.59,4.53
2016,De'Vondre Campbell,ATL,23,1,7,0,0,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2017,De'Vondre Campbell,ATL,24,0,4,2,6,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2018,De'Vondre Campbell,ATL,25,0,0,1.5,3,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2019,De'Vondre Campbell,ATL,26,2,5,2,2,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2020,De'Vondre Campbell,ARI,27,0,3,2,2,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2021,De'Vondre Campbell,GB,28,2,5,2,6,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2022,De'Vondre Campbell,GB,29,2,3,0,1,OLB,Minnesota,76,232,4.58,16,34,116,7,4
2016,Troy Hill,LAR,25,0,2,0,0,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2017,Troy Hill,LAR,26,0,4,0,0,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2018,Troy Hill,LAR,27,2,5,0,0,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2019,Troy Hill,LAR,28,2,8,1,2,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2020,Troy Hill,LAR,29,3,10,0,0,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2021,Troy Hill,CLE,30,0,1,2,3,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2022,Troy Hill,LAR,31,1,4,0,0,CB,Oregon,70,180,4.55,20,32.5,120,6.81,4.21
2016,Dre Kirkpatrick,CIN,27,3,10,0,0,CB,Alabama,74,186,4.5,20,35,120,7,4
2017,Dre Kirkpatrick,CIN,28,1,14,1,1,CB,Alabama,74,186,4.5,20,35,120,7,4
2018,Dre Kirkpatrick,CIN,29,0,9,0,0,CB,Alabama,74,186,4.5,20,35,120,7,4
2019,Dre Kirkpatrick,CIN,30,0,4,1,1,CB,Alabama,74,186,4.5,20,35,120,7,4
2020,Dre Kirkpatrick,ARI,31,3,7,0,0,CB,Alabama,74,186,4.5,20,35,120,7,4
2021,Dre Kirkpatrick,SF,32,0,0,0,0,CB,Alabama,74,186,4.5,20,35,120,7,4
2016,Nick Perry,GB,26,1,4,11,16,DE,USC,75,271,4.55,35,38.5,124,7.25,4.66
2017,Nick Perry,GB,27,0,0,7,14,DE,USC,75,271,4.55,35,38.5,124,7.25,4.66
2018,Nick Perry,GB,28,0,3,1.5,3,DE,USC,75,271,4.55,35,38.5,124,7.25,4.66
2016,Marcus Peters,KC,23,6,20,0,0,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2017,Marcus Peters,KC,24,5,9,0,0,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2018,Marcus Peters,LAR,25,3,8,0,1,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2019,Marcus Peters,BAL,26,5,14,0,0,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2020,Marcus Peters,BAL,27,4,9,1,1,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2022,Marcus Peters,BAL,29,1,6,1,1,CB,Washington,72,197,4.53,17,37.5,121,7.08,4.08
2016,Jason Pierre-Paul,NYG,27,0,8,7,16,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2017,Jason Pierre-Paul,NYG,28,0,5,8.5,13,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2018,Jason Pierre-Paul,TB,29,0,2,12.5,20,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2019,Jason Pierre-Paul,TB,30,0,2,8.5,16,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2020,Jason Pierre-Paul,TB,31,2,6,9.5,14,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2021,Jason Pierre-Paul,TB,32,0,4,2.5,5,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2022,Jason Pierre-Paul,BAL,33,1,5,3,3,DE,South Florida,77,270,4.71,19,30.5,115,7.18,4.67
2016,Damarious Randall,GB,24,3,9,0,0,S,Arizona State,71,196,4.46,14,38,120,6.83,4.07
2017,Damarious Randall,GB,25,4,9,0,0,S,Arizona State,71,196,4.46,14,38,120,6.83,4.07
2018,Damarious Randall,CLE,26,4,9,0,0,S,Arizona State,71,196,4.46,14,38,120,6.83,4.07
2019,Damarious Randall,CLE,27,0,6,2.5,3,S,Arizona State,71,196,4.46,14,38,120,6.83,4.07
2020,Damarious Randall,SEA,28,0,0,0,0,S,Arizona State,71,196,4.46,14,38,120,6.83,4.07
2016,Da'NOris Searcy,TEN,28,1,6,0,0,S,NOth Carolina,71,223,4.55,27,33,120,6.87,4.09
2017,Da'NOris Searcy,TEN,29,1,2,0,1,S,NOth Carolina,71,223,4.55,27,33,120,6.87,4.09
2018,Da'NOris Searcy,CAR,30,0,0,0,0,S,NOth Carolina,71,223,4.55,27,33,120,6.87,4.09
2016,Calais Campbell,ARI,30,1,6,8,21,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2017,Calais Campbell,JAX,31,0,3,14.5,30,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2018,Calais Campbell,JAX,32,0,2,10.5,22,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2019,Calais Campbell,JAX,33,0,1,6.5,25,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2020,Calais Campbell,BAL,34,0,6,4,10,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2021,Calais Campbell,BAL,35,0,1,1.5,12,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2022,Calais Campbell,BAL,36,0,2,5.5,14,DE,Miami (FL),80,290,5.04,16,29.5,111,7.45,4.69
2016,Ibraheim Campbell,CLE,24,0,0,0,1,S,NOthwestern,71,208,4.52,23,,114,7,4
2017,Ibraheim Campbell,CLE,25,0,1,0,0,S,NOthwestern,71,208,4.52,23,,114,7,4
2018,Ibraheim Campbell,CLE,26,0,0,0,0,S,NOthwestern,71,208,4.52,23,,114,7,4
2019,Ibraheim Campbell,GB,27,0,0,0,0,S,NOthwestern,71,208,4.52,23,,114,7,4
2020,Ibraheim Campbell,IND,28,0,0,0,0,S,NOthwestern,71,208,4.52,23,,114,7,4
2016,Vontae Davis,IND,28,1,10,0,0,CB,Illinois,71,203,4.4,25,36,125,6.75,4.07
2017,Vontae Davis,IND,29,0,2,0,0,CB,Illinois,71,203,4.4,25,36,125,6.75,4.07
2018,Vontae Davis,BUF,30,0,0,0,0,CB,Illinois,71,203,4.4,25,36,125,6.75,4.07
2016,Dannell Ellerbe,NO,31,0,2,4,8,ILB,Georgia,73,236,4.63,20,35,118,7,4.23
2017,Dannell Ellerbe,PHI,32,0,0,0,0,ILB,Georgia,73,236,4.63,20,35,118,7,4.23
2016,Danielle Hunter,MIN,22,0,1,12.5,19,DE,LSU,77,252,4.57,25,,114,7,4
2017,Danielle Hunter,MIN,23,0,2,7,11,DE,LSU,77,252,4.57,25,,114,7,4
2018,Danielle Hunter,MIN,24,0,0,14.5,19,DE,LSU,77,252,4.57,25,,114,7,4
2019,Danielle Hunter,MIN,25,0,0,14.5,22,DE,LSU,77,252,4.57,25,,114,7,4
2021,Danielle Hunter,MIN,27,0,0,6,10,DE,LSU,77,252,4.57,25,,114,7,4
2022,Danielle Hunter,MIN,28,0,3,10.5,22,DE,LSU,77,252,4.57,25,,114,7,4
2016,Nick Kwiatkoski,CHI,23,0,2,1,1,ILB,West Virginia,74,243,4.73,19,32,120,7.16,4.22
2017,Nick Kwiatkoski,CHI,24,0,2,2,3,ILB,West Virginia,74,243,4.73,19,32,120,7.16,4.22
2018,Nick Kwiatkoski,CHI,25,0,0,0,1,ILB,West Virginia,74,243,4.73,19,32,120,7.16,4.22
